id,rating,genre,year,director,star,company,runtime
552681,R,Action,2019,Tony Wash,Sid Haig,Hicktown Entertainment,85.0
511778,R,Comedy,2019,Drew Cullingham,Spencer Brown,7DM Studios,82.0
616464,PG,Comedy,2019,T.C. Christensen,David McConnell,Remember Films,100.0
560964,Not Rated,Action,2019,Chuck Russell,Vidyut Jammwal,Junglee Pictures,115.0
576121,Not Rated,Action,2019,Indra Kumar,Ajay Devgn,Ajay Devgn Ffilms,130.0
554596,R,Comedy,2019,Nacho G. Velilla,Martha Higareda,Neverending Media,102.0
589157,Not Rated,Action,2019,Jazz Boon,Louis Koo,Babieka,98.0
568789,Not Rated,Drama,2019,Marie Kreutzer,Valerie Pachner,Novotny & Novotny Filmproduktion GmbH,108.0
572367,PG-13,Drama,2019,Aneesh Daniel,Sharman Joshi,Skypass Entertainment,112.0
553839,Not Rated,Animation,2019,Yutaka Uemura,Tesshô Genda,Studio NuT,115.0
554590,PG-13,Comedy,2019,Ariel Winograd,Martha Higareda,Neverending Media,120.0
555748,PG-13,Adventure,2019,Mitch Davis,Christopher Gorham,Kolipoki Pictures,117.0
599598,Not Rated,Action,2019,Raj Kumar Gupta,Arjun Kapoor,Fox STAR Studios,123.0
602661,Not Rated,Action,2019,Jason Kwan,Tony Ka Fai Leung,Bona Film Group,101.0
636919,R,Action,2019,Jeffrey Nicholson,Michael Saquella,Cactus Blue Entertainment,93.0
577922,PG-13,Action,2020,Christopher Nolan,John David Washington,Warner Bros.,150.0
464052,PG-13,Action,2020,Patty Jenkins,Gal Gadot,Atlas Entertainment,151.0
495764,R,Action,2020,Cathy Yan,Margot Robbie,Clubhouse Pictures (II),109.0
570670,R,Drama,2020,Leigh Whannell,Elisabeth Moss,Universal Pictures,124.0
508439,PG,Animation,2020,Dan Scanlon,Tom Holland,Walt Disney Pictures,102.0
38700,R,Action,2020,Adil El Arbi,Will Smith,Columbia Pictures,124.0
454626,PG,Action,2020,Jeff Fowler,Ben Schwartz,Paramount Pictures,99.0
448119,PG,Adventure,2020,Stephen Gaghan,Robert Downey Jr.,Universal Pictures,101.0
481848,PG,Adventure,2020,Chris Sanders,Harrison Ford,20th Century Studios,100.0
508935,Not Rated,Action,2020,Hu Guan,Zhi-zhong Huang,Beijing Diqi Yinxiang Entertainment,149.0
598215,R,Crime,2020,Scott Teems,Shea Whigham,Prowess Pictures,98.0
635389,TV-PG,Animation,2020,Teng Cheng,Guangtao Jiang,Beijing Enlight Pictures,110.0
717676,PG-13,Comedy,2020,Scott Pryor,Scott Pryor,Pryor Entertainment,120.0
713650,R,Drama,2020,Marcus Brown,Dan Belcher,Notis Studio,78.0
550678,Not Rated,Horror,2020,Kevin Shulman,Kristina Klebe,Roxwell Films,87.0
784384,R,Drama,2020,Justin Kreinbrink,Nicky Whelan,Dow Jazz Films,121.0
